ID;Typ;Datum;Betrag;Hauptkategorie;Unterkategorie;Beschreibung;Haendler;Zahlungsart;Quelle
excel-Oktober_2007-C12;Ausgabe;2007-10-08;9,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J12;Ausgabe;2007-10-08;38,1;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-I13;Ausgabe;2007-10-09;35,0;Wohnen;Miete / Strom (historisch);Excel-Historie · Miete+Strom;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C14;Ausgabe;2007-10-10;2,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J14;Ausgabe;2007-10-10;35,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C15;Ausgabe;2007-10-11;6,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J15;Ausgabe;2007-10-11;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C16;Ausgabe;2007-10-12;6,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-F16;Ausgabe;2007-10-12;30,01;Mobilität;Auto / Kraftstoff / Fahrtkosten (historisch);Excel-Historie · Benzin;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C17;Ausgabe;2007-10-13;6,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-D17;Ausgabe;2007-10-13;36,0;Einrichtung;Einrichtung / Baumarkt / Elektronik (historisch);Excel-Historie · Einrichtungs- gegenstände;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-H17;Ausgabe;2007-10-13;35,0;Sonstiges / Lifestyle;Sonstige Zahlungen / Friseur / Reparatur / Geschenke (historisch);Excel-Historie · Sonstige Zahlungen, Strafe und Reparatur;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J17;Ausgabe;2007-10-13;62,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-F18;Ausgabe;2007-10-14;50,02;Mobilität;Auto / Kraftstoff / Fahrtkosten (historisch);Excel-Historie · Benzin;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J18;Ausgabe;2007-10-14;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C19;Ausgabe;2007-10-15;2,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C22;Ausgabe;2007-10-18;7,84;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J22;Ausgabe;2007-10-18;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-L22;Ausgabe;2007-10-18;52,67;Wohnen;Mobilfunk / Telefon (historisch);Excel-Historie · Handy und Telefon;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C23;Ausgabe;2007-10-19;23,1;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J23;Ausgabe;2007-10-19;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C24;Ausgabe;2007-10-20;29,66;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-D24;Ausgabe;2007-10-20;9,49;Einrichtung;Einrichtung / Baumarkt / Elektronik (historisch);Excel-Historie · Einrichtungs- gegenstände;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-H24;Ausgabe;2007-10-20;11,0;Sonstiges / Lifestyle;Sonstige Zahlungen / Friseur / Reparatur / Geschenke (historisch);Excel-Historie · Sonstige Zahlungen, Strafe und Reparatur;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J24;Ausgabe;2007-10-20;29,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C26;Ausgabe;2007-10-22;3,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J26;Ausgabe;2007-10-22;80,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C28;Ausgabe;2007-10-24;16,2;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J28;Ausgabe;2007-10-24;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C31;Ausgabe;2007-10-27;15,99;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-D31;Ausgabe;2007-10-27;24,13;Einrichtung;Einrichtung / Baumarkt / Elektronik (historisch);Excel-Historie · Einrichtungs- gegenstände;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J31;Ausgabe;2007-10-27;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J32;Ausgabe;2007-10-28;3,1;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C33;Ausgabe;2007-10-29;2,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J33;Ausgabe;2007-10-29;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-C34;Ausgabe;2007-10-30;3,1;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Oktober_2007-J35;Ausgabe;2007-10-31;17,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-Einkommen;Einnahme;2007-11-01;1600,0;Einnahmen;Einkommen / Gehalt;Einkommen netto · Excel-Historie;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-I5;Ausgabe;2007-11-01;485,0;Wohnen;Miete / Strom (historisch);Excel-Historie · Miete+Strom;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C6;Ausgabe;2007-11-02;32,57;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-G6;Ausgabe;2007-11-02;220,74;Versicherungen / Altersvorsorge / Finanzen;Versicherungen / Rente / Bank (historisch);Excel-Historie · Versicherungen+Rente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J6;Ausgabe;2007-11-02;22,87;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-F8;Ausgabe;2007-11-04;25,9;Mobilität;Auto / Kraftstoff / Fahrtkosten (historisch);Excel-Historie · Benzin;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C9;Ausgabe;2007-11-05;8,54;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-G9;Ausgabe;2007-11-05;109,0;Versicherungen / Altersvorsorge / Finanzen;Versicherungen / Rente / Bank (historisch);Excel-Historie · Versicherungen+Rente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J9;Ausgabe;2007-11-05;93,5;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-L9;Ausgabe;2007-11-05;27,32;Wohnen;Mobilfunk / Telefon (historisch);Excel-Historie · Handy und Telefon;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J10;Ausgabe;2007-11-06;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J12;Ausgabe;2007-11-08;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-I13;Ausgabe;2007-11-09;35,0;Wohnen;Miete / Strom (historisch);Excel-Historie · Miete+Strom;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C14;Ausgabe;2007-11-10;16,93;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-D14;Ausgabe;2007-11-10;18,69;Einrichtung;Einrichtung / Baumarkt / Elektronik (historisch);Excel-Historie · Einrichtungs- gegenstände;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J14;Ausgabe;2007-11-10;15,8;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J15;Ausgabe;2007-11-11;20,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C16;Ausgabe;2007-11-12;16,93;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J16;Ausgabe;2007-11-12;4,8;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-L17;Ausgabe;2007-11-13;35,74;Wohnen;Mobilfunk / Telefon (historisch);Excel-Historie · Handy und Telefon;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J18;Ausgabe;2007-11-14;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C20;Ausgabe;2007-11-16;3,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-F20;Ausgabe;2007-11-16;50,02;Mobilität;Auto / Kraftstoff / Fahrtkosten (historisch);Excel-Historie · Benzin;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J20;Ausgabe;2007-11-16;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C21;Ausgabe;2007-11-17;17,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-E21;Ausgabe;2007-11-17;50,0;Bekleidung;Kleidung / Schuhe / Parfüm (historisch);Excel-Historie · Kleidung und Schuhe;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J21;Ausgabe;2007-11-17;56,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J22;Ausgabe;2007-11-18;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C23;Ausgabe;2007-11-19;4,62;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C24;Ausgabe;2007-11-20;2,2;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J24;Ausgabe;2007-11-20;12,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C27;Ausgabe;2007-11-23;5,7;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J27;Ausgabe;2007-11-23;65,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C28;Ausgabe;2007-11-24;22,95;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J28;Ausgabe;2007-11-24;20,5;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J29;Ausgabe;2007-11-25;15,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C30;Ausgabe;2007-11-26;1,2;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J30;Ausgabe;2007-11-26;18,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C31;Ausgabe;2007-11-27;6,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-D31;Ausgabe;2007-11-27;7,0;Einrichtung;Einrichtung / Baumarkt / Elektronik (historisch);Excel-Historie · Einrichtungs- gegenstände;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-K31;Ausgabe;2007-11-27;12,0;Gesundheit;Gesundheit / Arzt / Medikamente (historisch);Excel-Historie · Medikamente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C32;Ausgabe;2007-11-28;2,8;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C33;Ausgabe;2007-11-29;3,1;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-H33;Ausgabe;2007-11-29;22,4;Sonstiges / Lifestyle;Sonstige Zahlungen / Friseur / Reparatur / Geschenke (historisch);Excel-Historie · Sonstige Zahlungen, Strafe und Reparatur;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J33;Ausgabe;2007-11-29;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-K33;Ausgabe;2007-11-29;16,0;Gesundheit;Gesundheit / Arzt / Medikamente (historisch);Excel-Historie · Medikamente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-C34;Ausgabe;2007-11-30;2,9;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-F34;Ausgabe;2007-11-30;22,0;Mobilität;Auto / Kraftstoff / Fahrtkosten (historisch);Excel-Historie · Benzin;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-November_2007-J34;Ausgabe;2007-11-30;8,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-C5;Ausgabe;2007-12-01;23,0;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-Einkommen;Einnahme;2007-12-01;1600,0;Einnahmen;Einkommen / Gehalt;Einkommen netto · Excel-Historie;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-I5;Ausgabe;2007-12-01;485,0;Wohnen;Miete / Strom (historisch);Excel-Historie · Miete+Strom;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J5;Ausgabe;2007-12-01;64,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-G6;Ausgabe;2007-12-02;220,74;Versicherungen / Altersvorsorge / Finanzen;Versicherungen / Rente / Bank (historisch);Excel-Historie · Versicherungen+Rente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J6;Ausgabe;2007-12-02;7,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-C7;Ausgabe;2007-12-03;7,8;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J7;Ausgabe;2007-12-03;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-C9;Ausgabe;2007-12-05;2,55;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J9;Ausgabe;2007-12-05;8,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-L9;Ausgabe;2007-12-05;25,0;Wohnen;Mobilfunk / Telefon (historisch);Excel-Historie · Handy und Telefon;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-K10;Ausgabe;2007-12-06;370,0;Gesundheit;Gesundheit / Arzt / Medikamente (historisch);Excel-Historie · Medikamente;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J11;Ausgabe;2007-12-07;17,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J12;Ausgabe;2007-12-08;38,5;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-I13;Ausgabe;2007-12-09;35,0;Wohnen;Miete / Strom (historisch);Excel-Historie · Miete+Strom;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-C14;Ausgabe;2007-12-10;20,3;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J14;Ausgabe;2007-12-10;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-C16;Ausgabe;2007-12-12;5,9;Lebensmittel & Haushalt;Lebensmittel & Haushalt (historisch);Excel-Historie · Nahrungs- und Haushaltsmittel;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
excel-Dezember_2007-J16;Ausgabe;2007-12-12;2,0;Freizeit;Vergnügen / Urlaub (historisch);Excel-Historie · Vergnügen;Excel-Import;Sonstiges;Monatsabrechnung_Exc_AKTUELL.xlsx
